NMU,ANO,MCEXT,CTRY,US$
Abadia de Goiás,2010,"Pontas, pregos, percevejos, escápulas e artefactos semelhantes, de cobre ou de ferro ou aço com cabeça de cobre; parafusos, pinos ou pernos, roscados, porcas, ganchos roscados, rebites, chavetas, cavilhas, contrapinos ou troços, anilhas (arruelas) incluíd Partes e acessórios dos veículos automóveis das posições 8701 a 8705 Instrumentos e aparelhos para medida ou controlo do caudal (vazão), do nível, da pressão ou de outras características variáveis dos líquidos ou gases (por exemplo: medidores de caudal, indicadores de nível, manómetros, contadores de calor), exceto os ins Centrifugadores, incluídos os secadores centrífugos, aparelhos para filtrar ou depurar líquidos ou gases Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Parafusos, pernos ou pinos, roscados, porcas, tira-fundos, ganchos roscados, rebites, chavetas, cavilhas, contrapinos ou troços, anilhas ou arruelas (incluídas as de pressão) e artefactos semelhantes, de ferro fundido, ferro ou aço Torneiras, válvulas (incluídas as redutoras de pressão e as termostáticas) e dispositivos semelhantes, para canalizações, caldeiras, reservatórios, cubas e outros recipientes Outros tubos (por exemplo: soldados ou rebitados), de secção circular, de diâmetro exterior superior a 406,4 mm, de ferro ou aço Molas e folhas de molas, de ferro ou aço Veios (árvores) de transmissão [incluídas as árvores de cames (excênticos) e cambotas (virabrequins)] e manivelas; chumaceiras (mancais) e bronzes; engrenagens e rodas de fricção; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de trans Produtos e artefactos, de matérias têxteis, para usos técnicos, indicados na Nota 7 do presente capítulo Outras obras de borracha vulcanizada não endurecida Outras obras de plástico e obras de outras matérias das posições 3901 a 3914 Outras obras de borracha vulcanizada não endurecida Outras obras de plástico e obras de outras matérias das posições 3901 a 3914",Estados Unidos Estados Unidos Estados Unidos Estados Unidos México Estados Unidos Estados Unidos Estados Unidos Costa Rica Estados Unidos Estados Unidos Estados Unidos Costa Rica Costa Rica Estados Unidos,61835
Acreúna,2010,"Grãos de cereais trabalhados de outro modo (por exemplo: descascados, pelados, esmagados, em flocos, em pérolas, cortados ou partidos), com exclusão do arroz da posição 1006; germes de cereais, inteiros, esmagados, em flocos ou moídos Sementes, frutos e esporos, para sementeira Milho Sementes, frutos e esporos, para sementeira Milho Farinhas de cereais, exceto de trigo ou de mistura de trigo com centeio Caixas, sacos, bolsas, cartuchos e outras embalagens, de papel, cartão, pasta (ouate) de celulose ou de mantas de fibras de celulose; cartonagens para escritórios, lojas e estabelecimentos semelhantes Sementes, frutos e esporos, para sementeira Máquinas para preparação de matérias têxteis; máquinas para fiação, dobragem ou torção de matérias têxteis e outras máquinas e aparelhos para fabricação de fios têxteis; máquinas de bobinar (incluídas as bobinadeiras de trama) ou de dobar matérias têxteis",Camarões Bolívia Bolívia Paraguai Paraguai Angola Bolívia Argentina China,2044218
Alto Horizonte,2010,Minérios de cobre e seus concentrados Minérios de cobre e seus concentrados Minérios de cobre e seus concentrados,Alemanha Índia Espanha,504658668
Americano do Brasil,2010,Minérios de cobre e seus concentrados,China,12125810
