NMU;PIB_I;PIBpC_I;VAADESS_I;VAADESS_R_I;VAAGRO_I;VAAGRO_R_I;VABT_I;VAIND_I;VAIND_R_I;VASERV_I;VASERV_R_I;PIB_V;PIBpC_V;VAADESS_V;VAADESS_R_V;VAAGRO_V;VAAGRO_R_V;VABT_V;VAIND_V;VAIND_R_V;VASERV_V;VASERV_R_V;PIB_M;PIBpC_M;VAADESS_M;VAADESS_R_M;VAAGRO_M;VAAGRO_R_M;VABT_M;VAIND_M;VAIND_R_M;VASERV_M;VASERV_R_M;ANOSESTUDOS;IDHME;IDEB_EF1M;IDEB_EF2M;IDEB_EMM;IDEB_FF1M;IDEB_FF2M;IDEB_FMM;IDEB_MF1M;IDEB_MF2M;IDEB_MMM;IDEB_PF1M;IDEB_PF2M;IDEB_PMM;INREND_EF1M;INREND_EF2M;INREND_EMM;INREND_FF1M;INREND_FF2M;INREND_FMM;INREND_MF1M;INREND_MF2M;INREND_MMM;INREND_PF1M;INREND_PF2M;INREND_PMM;NSLP_EF1M;NSLP_EF2M;NSLP_EMM;NSLP_FF1M;NSLP_FF2M;NSLP_FMM;NSLP_MF1M;NSLP_MF2M;NSLP_MMM;NSLP_PF1M;NSLP_PF2M;NSLP_PMM;NSMAT_EF1M;NSMAT_EF2M;NSMAT_EMM;NSMAT_FF1M;NSMAT_FF2M;NSMAT_FMM;NSMAT_MF1M;NSMAT_MF2M;NSMAT_MMM;NSMAT_PF1M;NSMAT_PF2M;NSMAT_PMM;TXAPRO_EF1M;TXAPRO_EF2M;TXAPRO_EMM;TXAPRO_FF1M;TXAPRO_FF2M;TXAPRO_FMM;TXAPRO_MF1M;TXAPRO_MF2M;TXAPRO_MMM;TXAPRO_PF1M;TXAPRO_PF2M;TXAPRO_PMM;RM_I;RM_V;V_RAECP;V_RAP;V_RCC;V_RCO;V_REM;V_RIT;V_RSE;V_RSIUP;M_RAECP;M_RAP;M_RCC;M_RCO;M_REM;M_RIT;M_RM;M_RSE;M_RSIUP;CENSO22;CENSO_V;EXPOR;IDMECO;IDMINFRA;IDMSUS;IDMSEG;IDMTRAB;REGIOES;IDEB_PFUND;NM_PF1;NM_PF2;NM_PM;NM_PFUND;NM_EF1;NM_EF2;NM_EM;NM_EFUND;NM_MF1;NM_MF2;NM_MM;NM_MFUND;NM_FF1;NM_FF2;NM_FM;NM_FFUND;IDEB_MFUND;IDEB_EFUND;IDEB_FFUND
Hidrolândia;251865398;1447669;38569023;1,70203E+16;36745438;1,62156E+16;226605474;68220426;3,01054E+15;83070587;3,66587E+15;4,668420023;3,671178287;2,922039042;0,673394112;3,693175654;0,851105239;4,33927026;2,499075013;5,759205727;6,79430474;1,565771278;580032530,1;2840016,636;65041618,09;1,26995E+16;65759862;9,99498E+15;468970744,9;133821226,7;1,20704E+16;270642604,4;1,30735E+16;9,41;0,603;;4,233333333;3,95;;;5,05;5;3,525;;5;4,166666667;4,166666667;;0,845468498;0,895046677;;;0,921815005;0,926347503;0,808538497;;0,926347503;0,842010657;0,898715677;;249,398;263,895;;;302,035;195,998;231,2166667;;195,998;247,128;274,1566667;;249,804;264,145;;;300,59;204,608;231,4433333;;204,608;247,598;274,97;;84,75;89,1;;;91,7;92,68333333;81,58333333;;92,68333333;84,18333333;89,3;939,92;2,304707;2,303206103;3,333255922;2,68236175;2,249760628;1,847683677;2,140670055;1,884323988;1,170178627;1293,553636;1774,085455;1728,228182;1367,743636;1662,272857;1737,062727;1559,295455;1464,622727;1682,820909;27741;1,59449362;0,052075333;2,109677419;1,061302682;1,087378641;1,148479428;1,546218487;CENTRO GOIANO;4,583333333;200,303;247,363;274,5633333;223,833;;249,601;264,02;;200,303;231,33;;215,8165;;;301,3125;;4,2625;;
Montividiu;385212477;3642327;29989796;8,33474E+15;184441351;5,12598E+15;359816942;4532794;1,25975E+16;100057855;2,7808E+16;2,683800455;2,07605852;2,556030291;0,931713181;0,3389685;1,235593412;2,743366031;13,32026979;0,485544752;0,224748602;0,819243948;571528978,8;5533591,545;55989815,64;8,69572E+15;284964641,2;9,08864E+15;532975612,6;43438844,18;7,77047E+15;162166914,2;2,13193E+16;9,44;0,644;;;4,3;;;;5,883333333;4,583333333;;5,883333333;4,583333333;4,3;;;0,944036337;;;;0,975820673;0,946506162;;0,975820673;0,946506162;0,944036337;;;272,55;;;;210,088;247,3;;210,088;247,3;272,55;;;268,56;;;;223,322;244,12;;223,322;244,12;268,56;;;94,46666667;;;;97,51666667;94,7;;97,51666667;94,7;94,46666667;1220,77;2,197195;2,317050382;2,9642014;0,966931199;1,854293526;1,548778842;1,477572958;1,805055962;1,179961579;2114,04;2081,477273;1148,745455;1726,059091;2842,922727;1902,67;1996,779091;1962,349091;8319,995;12521;1,1843549;4,512564435;1,670212766;0,816939891;0,778290993;1,012091898;1,184501845;SUL GOIANO;5,233333333;216,705;245,71;270,555;231,2075;;;270,555;;216,705;245,71;;231,2075;;;;;5,233333333;;
Santo Antônio do Descoberto;316166826;500533;141178669;4,73979E+16;11863113;3,9828E+15;297858799;25255269;8,47894E+15;119561747;4,01404E+15;2,365644317;1,970597343;2,408738866;1,0273317;2,19030005;0,000934167;2,344655445;2,09769791;0,089467214;2,336466403;9,965073581;558373738,9;670323,6364;226678165,3;2,03313E+16;15247164,82;1,72771E+16;436897963,5;42171880;7,06462E+15;175724556,2;1,79966E+16;8,83;0,556;;4,116666667;4,066666667;;;;4,4;3,8;;4,4;3,933333333;4,066666667;;0,860644177;0,917508327;;;;0,868564492;0,811336493;;0,868564492;0,829391002;0,917508327;;244,182;271,1766667;;;;186,21;243,056;;186,21;243,978;271,1766667;;242,212;263,83;;;;194,274;238,286;;194,274;240,74;263,83;;86,25;91,33333333;;;;86,81666667;80,25;;86,81666667;82,75;91,33333333;958,09;2,118434;2,05997037;2,386149994;1,727156826;1,731540386;1,363815101;1,811323407;2,072728004;0,693316433;1083,564545;2191,364545;1310,298182;1185,625455;1443,470909;1063,041818;1679,232727;1347,591818;1881,201818;72134;1,140494561;;2,037037037;1,1328125;0,81443299;1,328695652;1,097560976;LESTE GOIANO;4,166666667;190,242;242,359;267,5033333;216,3005;;243,197;267,5033333;;190,242;240,671;;215,4565;;;;;4,1;;
Cidade Ocidental;336090538;601418;116295031;3,68611E+15;8266917;2,6203E+15;315495264;61730273;1,95661E+15;129203043;4,09525E+15;2,560902283;1,963383204;2,676169242;10,50015457;4,456605407;1,748583195;2,548695092;2,10881371;0,827409177;2,522045963;0,98954401;552812000,7;940092,0909;190028961,9;1,58492E+16;11519875,82;1,69813E+16;477320826,4;89797375,45;9,45603E+15;195686690,1;3,26124E+16;9,79;0,641;;4,916666667;4,266666667;;;;4,883333333;4,033333333;;4,883333333;4,316666667;4,266666667;;0,957594163;0,945282343;;;;0,904556998;0,85204349;;0,904556998;0,881434502;0,945282343;;255,644;272,77;;;;193,556;244,148;;193,556;248,37;272,77;;251,1;266,1433333;;;;202,742;239,338;;202,742;243,944;266,1433333;;95,85;94,23333333;;;;90,36666667;84,96666667;;90,36666667;88;94,23333333;989,74;1,979439;1,756563328;2,242033422;1,569286199;1,728825781;0,956521739;2,031516085;1,68820634;1,319198345;1262,667273;2212,093636;1295,570909;1122,778182;1111,5;1436,424545;1613,434545;1376,670909;1635,548;91767;1,641187517;2,441269564;0,458100559;1;1,121666667;0,884180791;1,489361702;LESTE GOIANO;4,6;198,149;246,157;269,4566667;222,153;;253,372;269,4566667;;198,149;241,743;;219,946;;;;;4,458333333;;
Mozarlândia;279972082;2088876;34010502;1,37248E+16;27194038;1,09741E+16;24780306;98356134;3,96913E+15;88242386;3,56099E+16;3,265304471;2,757711324;2,352234701;0,719050743;2,056596302;0,062867753;32,71305572;4,110369415;1,256492041;3,064645645;0,936826468;527147903,3;3543397,364;58071283,55;1,16356E+16;39321574,36;8,27226E+15;412141203,3;177639262,5;1,2679E+16;159406872,6;2,46703E+16;8,95;0,565;4,4;4,466666667;4,05;;;;5,366666667;4,22;;5,35;4,366666667;4,05;0,90600002;0,882255333;0,893421657;;;;0,935561833;0,856938825;;0,935497163;0,871455002;0,893421657;175,22;253,306;273,17;;;;203,056;249,285;;202,268;249,782;273,17;191,52;249,492;263,505;;;;216,99;251,67;;215,706;247,708;263,505;90,6;88,25;89,03333333;;;;93,38333333;85,66666667;;93,4;87,35;89,03333333;1019,78;2,105062;2,171894645;2,294744533;2,117021423;2,156387638;;2,064327025;2,173706418;0,494176621;1534,034545;1901,631818;1279,545455;1364,677273;;1661,967273;1674,288182;1957,305455;2291,964444;14750;1,100417786;2,894127614;1,992;0,898785425;0,81875;0,933579336;1,003968254;NOROESTE GOIANO;4,858333333;208,987;248,745;268,3375;228,866;183,37;251,399;268,3375;217,3845;210,023;250,4775;;230,25025;;;;;4,793333333;4,433333333;
Nerópolis;391463906;1618355;62022427;1,82125E+16;10217574;3,00032E+15;340549261;126663796;3,7194E+15;141645464;4,15932E+16;2,42587029;1,930560353;2,35388283;0,959685467;4,18736522;1,70720203;2,452764903;2,415788692;0,984924682;2,404002637;0,098011947;522927675,9;2366791,818;97838507,73;1,4512E+16;21120553,73;3,63875E+15;527775730,4;187826549,9;1,20764E+16;248671982,9;1,48607E+16;9,31;0,671;;5,033333333;4,266666667;;;;5,716666667;4,74;;5,716666667;4,966666667;4,266666667;;0,948163493;0,93265299;;;;0,969548672;0,932444796;;0,969548672;0,947326327;0,93265299;;258,282;273,74;;;;208,246;251,8075;;208,246;256,726;273,74;;263,696;270,1266667;;;;219,516;251,7725;;219,516;259,332;270,1266667;;94,88333333;93,23333333;;;;96,91666667;93,18;;96,91666667;94,71666667;93,23333333;1017;1,804022;2,044512383;1,647833895;2,59275022;1,986599919;;1,872393922;1,911806292;0,319000993;1316,906364;2177,107273;1169,195455;1217,146364;;1513,27;1535,359091;1352,394545;3675,76;31932;1,318959108;1,146116505;1,80794702;0,943333333;0,973130841;1,087378641;1,406015038;CENTRO GOIANO;5,341666667;213,881;258,029;271,9333333;235,955;;260,989;271,9333333;;213,881;251,79;;232,8355;;;;;5,228333333;;
Goianira;322592499;947102;71965593;2,44138E+16;10126157;3,43523E+16;294773881;111588238;3,78555E+16;101093894;3,42954E+15;0,297770488;2,239130527;2,852111772;0,98807716;2,019863903;0,699755672;2,886527375;2,01411992;0,069776574;0,396080707;13,72170277;485411251,7;1666957,273;130628606,1;1,32758E+16;12749930,36;1,75441E+16;525446522,7;142816748,7;1,05949E+16;243529448,8;1,45333E+16;9,38;0,596;5,5;4,683333333;4,366666667;;;;5,45;3,96;;5,466666667;4,583333333;4,366666667;0,972000005;0,917829332;0,95622934;;;;0,945425505;0,784494604;;0,946247175;0,900909838;0,95622934;199,81;254,262;275,2533333;;;;205,144;253,1325;;205,394;254,388;275,2533333;214,41;251,868;267,4233333;;;;215,67;251,8825;;215,908;251,996;267,4233333;97,2;91,85;95,23333333;;;;94,46666667;76,28;;94,5;90,08333333;95,23333333;979,19;1,948713;2,114496185;2,767980469;0,620947749;1,920977612;1,438617673;1,996212121;1,901812462;0,48858271;1274,435455;1834,553636;1494,178182;1220,397273;2470,982727;1615,986364;1571,681818;1390,755455;2740,246667;71916;2,111450382;330,7294722;1,728395062;1,316526611;1,211093991;0,868263473;1,283261803;CENTRO GOIANO;5,025;210,651;253,192;271,3383333;231,9215;207,11;253,065;271,3383333;230,0875;210,407;252,5075;;231,45725;;;;;4,705;5,091666667;
Iporá;301137682;962901;68594575;2,49955E+16;2312453;8,42645E+15;274428032;27030143;9,84963E+15;155678783;5,67285E+15;2,502471969;2,484597067;2,137077138;0,861543263;26,14392422;1,05396859;2,480522139;3,162683897;1,275007325;2,493522293;1,005240894;480722051,5;1693352,727;107777122,9;1,87586E+16;38853291,73;4,32227E+15;386447674,2;52908966,09;1,06016E+16;286668301;5,39386E+15;10,66;0,667;6,566666667;5,383333333;4,566666667;;;5,55;6,72;4,7;;6,616666667;5,366666667;4,933333333;0,988336837;0,959156015;0,90931065;;;0,865824003;0,983305002;0,960657508;;0,987601995;0,960377322;0,90084366;223,42;267,422;284,9333333;;;324,835;229,73;244,5366667;;224,642;266,634;297,5266667;239,838;272,06;289,64;;;347,555;244,265;249,9733333;;241,558;271,224;305,65;98,78333333;95,98333333;90,83333333;;;86,73333333;98,3;96,125;;98,75;96,1;89,93333333;1019,89;2,116111;2,113509495;2,9392747;0,671270445;1,902076811;0,946150848;1,978439082;1,666813811;1,378306755;1256,453636;2122,832727;2025,66;1338,163636;802,3775;1207,710909;1741,935455;1889,262727;6774,041818;35684;1,141011703;2,632042744;1,978571429;1,001953125;0,990629183;0,992197659;1,605150215;CENTRO GOIANO;5,991666667;233,1;268,929;301,5883333;251,0145;231,629;269,741;287,2866667;250,685;236,9975;247,255;;242,12625;;;336,195;;5,71;5,975;
Alto Horizonte;742108261;16472991;16323975;2,26675E+16;860051;1,19427E+16;720149576;559067181;7,76321E+15;13615791;1,89069E+16;0,105986078;0,722887665;4,768164739;0,481581215;1,810548444;1,828640929;0,990106048;0,858973383;0,86755695;10,23764106;1,033994396;479744538,9;11507129;30786280,73;2,21515E+16;7331484,727;1,17066E+16;661134098,3;473019439,4;5,9682E+15;124920735,9;1,89843E+16;10,42;0,624;;4,9;4,333333333;;;;6,133333333;4,72;;6,133333333;4,75;4,333333333;;0,93316898;0,982811333;;;;0,964129167;0,88702082;;0,964129167;0,88987632;0,982811333;;255,21;263,7;;;;215,216;257,1675;;215,216;255,022;263,7;;260,485;269,2433333;;;;235,604;261,81;;235,604;260,088;269,2433333;;96,8;98,06666667;;;;96,38333333;88,41666667;;96,38333333;88,83333333;98,06666667;2112,81;1,675759;2,109197717;2,489636774;1,55646262;2,809943415;1,410106596;1,535442232;1,556310669;0,997241568;1146,24;1993,694545;3068,885455;2733,584545;4819,842;1464,630909;2906,955455;1349,571818;995,2271429;6072;1,347835738;0,793572605;1,70212766;0,815436242;0,920595533;1,015306122;1,216;NORTE GOIANO;5,441666667;225,41;257,555;266,4716667;241,4825;;257,8475;266,4716667;;225,41;259,48875;;242,449375;;;;;5,426666667;;
Silvânia;297998925;1560531;45912819;1,6552E+16;113299774;4,08455E+16;277386124;20625847;7,43579E+15;97547684;3,51667E+15;2,936212391;0,269359596;0,216565683;0,728477821;3,831509002;0,12888327;2,972852114;2,433518294;8,1858034;2,469500301;0,830683871;477983899,5;2487008,545;63125024,91;1,21718E+16;211244289,2;2,13591E+16;440957356,5;30328840,36;1,54809E+16;196620082,1;1,8716E+16;10,12;0,606;5,9;5,166666667;4,833333333;;;;5,983333333;4,4;;6;5,066666667;4,833333333;0,968513995;0,956621315;0,976997007;;;;0,960662827;0,890182243;;0,962076998;0,937017165;0,976997007;209,47;260,026;283,3633333;;;;217,436;252,925;;217,292;259,916;283,3633333;228,27;265,714;285,6566667;;;;228,13;245,05;;228,582;263,502;285,6566667;96,6;95,58333333;97,63333333;;;;95,91666667;88,8;;96,06666667;93,61666667;97,63333333;998,38;2,038853;2,340139436;2,34472205;0,82084602;1,846608273;1,691786203;2,126443039;1,592562613;3,705680944;1446,289091;2145,382727;1253,953;1416,16;1053,702727;1159,895455;1569,518182;1682,030909;9770,562857;22245;1,165330819;0,360712044;2,062937063;1,053619303;1,1167979;1,04865557;1,345454545;SUL GOIANO;5,533333333;222,937;261,709;284,51;242,323;218,87;262,87;284,51;240,87;222,783;248,9875;;235,88525;;;;;5,191666667;5,533333333;
Corumbaíba;253544763;3105644;24630145;1,11221E+16;39404619;1,77938E+16;221451445;79606738;3,59477E+16;77809942;3,51363E+15;2,600906551;2,151565666;2,389046228;0,008955751;0,225604744;0,845718241;2,667611191;3,408793713;0,127784503;0,220591554;0,826925432;466961910,7;5108152,727;38802296,27;8,2541E+15;54733467,36;1,2133E+16;368138290;151269777,8;9,09361E+15;122201152;1,931E+16;7,01;0,582;;4,916666667;4,333333333;;;;6,933333333;;;6,933333333;4,933333333;4,333333333;;0,917662158;0,911557327;;;;0,982355505;0,942348;;0,982355505;0,920659003;0,913276997;;257,26;278,0566667;;;;234,72;;;234,72;257,26;278,0566667;;261,092;277,3266667;;;;250,658;;;250,658;261,092;277,3266667;;91,81666667;90,76666667;;;;98,21666667;94,9;;98,21666667;92,13333333;90,86666667;1029,69;2,165865;2,103549306;2,309276974;3,423344148;1,848823813;1,30097662;2,10099206;1,900143817;0,813880606;1420,460909;1634,950909;1277,159091;1087,685455;914,3266667;1826,824545;1673,156364;2091,281818;3783,55;9164;1,12015646;0,789083905;2,365217391;0,918454936;1,073982737;0,968876861;1,331914894;SUL GOIANO;5,933333333;242,689;259,176;277,6916667;250,9325;;259,176;277,6916667;;242,689;;;;;;;;;;
Acreúna;303945841;1498525;50736631;1,83507E+16;86179197;3,11698E+15;276482777;35027289;1,26689E+16;10453966;3,78106E+15;2,645891848;2,380317312;2,086233534;0,077432775;3,753666038;13,93213044;2,694251288;1,787551871;0,663468875;24,19795473;8,981328073;464414661,2;2569403,091;82551460,09;1,23394E+16;179339119,6;2,1972E+16;514407662,9;44404631,36;8,19408E+15;182127203,8;2,49227E+16;9,78;0,553;;4,883333333;4,533333333;;;;6,033333333;4,375;;6,033333333;4,833333333;4,533333333;;0,930392155;0,977949343;;;;0,963171837;0,83513049;;0,963171837;0,92285366;0,977949343;;253,85;272,4433333;;;;213,976;251,8466667;;213,976;253,282;272,4433333;;260,456;274,2966667;;;;232,776;266,0133333;;232,776;260,418;274,2966667;;93,1;97,53333333;;;;96,13333333;83,55;;96,13333333;92,35;97,53333333;1123,14;2,109221;2,402372671;2,000399051;1,45813945;2,314299346;;2,355055971;1,68863278;0,316478322;1852,212727;1934,195455;1614,505455;1652,296364;;2081,656364;1805,767273;1570,144545;6758,892222;21568;1,063563292;1,067376071;1,86875;0,932748538;0,951153324;1,028694405;1,32388664;SUL GOIANO;5,433333333;223,376;256,85;273,37;240,113;;257,153;273,37;;223,376;258,93;;241,153;;;;;5,204166667;;
Edéia;343620445;3050066;28806501;8,87963E+15;114405956;3,52658E+16;324410883;96795376;2,98373E+15;8440305;2,60173E+16;2,387681807;2,157666096;2,351735256;1,005902063;1,82035257;0,00778615;2,337936607;3,124000076;1,336221037;21,33321924;0,091248065;453390783,5;3415421,091;48975697,82;9,10718E+15;138855399,4;1,46353E+16;455002183,4;155595462,5;1,59457E+16;142043325,3;1,2823E+16;10,29;0,648;;5,05;4,3;;;;6,116666667;4,15;;6,116666667;4,95;4,3;;0,957777502;0,954316337;;;;0,98811917;0,87796867;;0,98811917;0,948602498;0,954316337;;258,03;272,1066667;;;;215,29;239,58;;215,29;256,68;272,1066667;;260,036;266,95;;;;226,414;241,7;;226,414;257,824;266,95;;95,76666667;95,4;;;;98,78333333;88,1;;98,78333333;94,98333333;95,4;1452,57;1,246308;1,880424811;1,666100776;0,74868989;1,994036218;;0,571286845;1,505897074;4,949814214;1422,268182;1740,458182;1520,42875;1095,822727;;2196,757273;1926,347273;1587,692727;12222,89333;11747;1,042694834;1,150193785;1,586538462;1,365325077;1,123076923;1,181523501;1,22327044;SUL GOIANO;5,533333333;220,852;257,252;269,5283333;239,052;;259,033;269,5283333;;220,852;240,64;;230,746;;;;;5,133333333;;
Caiapônia;35573286;2125809;40162243;1,17082E+15;203454519;5,93114E+15;343027968;22098284;6,44212E+15;77312922;2,25384E+16;16,07152162;1,407551196;2,320368536;14,67566998;0,132179487;8,359976022;1,58109888;0,149637999;0,094641772;1,903657994;0,120400945;451866934,5;2822338,364;67526917,73;1,29142E+16;223362657,7;1,20872E+16;384227879,7;24029709;1,28049E+16;117723085,6;1,24544E+16;9,75;0,588;5,7;5,166666667;4,7;;;;5,766666667;;;5,783333333;5,15;4,7;0,973500015;0,974978507;0,970497667;;;;0,976965828;1;;0,976873333;0,975679505;0,970497667;207,96;259,37;279,16;;;;208,074;;;208,57;259,37;279,16;225,91;257,068;284,5;;;;216,504;;;217,002;257,068;284,5;97,35;97,48333333;97;;;;97,61666667;100;;97,63333333;97,56666667;97;1068,36;2,481261;2,348749463;4,193393531;1,982836232;2,390826715;2,180229404;1,339071349;1,95908114;0,762297074;1674,815455;2515,620909;1181,048182;1448,617273;3053,420909;1605,466364;1845,262727;1832,29;3394,06875;16507;0,985080862;1;1,398989899;0,852380952;0,962913907;1,132413793;1,453703704;SUL GOIANO;5,466666667;212,786;258,219;281,83;235,5025;216,935;258,219;281,83;237,577;212,289;;;;;;;;;5,433333333;
São Miguel do Araguaia;271568844;1218125;55566138;2,18607E+16;81077937;3,18975E+16;254182544;15853564;6,23708E+16;101684905;4,00047E+16;2,013359261;2,047711852;1,901253566;0,953319958;1,843224267;0,924223109;1,994349903;1,881292181;0,094331099;2,183348718;0,109476713;426757708,4;1906377,455;65431383,18;1,7729E+16;97793035,36;2,03277E+16;397203097,2;18284130,18;1,48654E+16;174345746,4;2,16371E+16;8,36;0,536;;4,983333333;4,533333333;;;;6,25;;;6,25;4,916666667;4,533333333;;0,964933985;0,910588993;;;;0,954777505;0,85940897;;0,954777505;0,955489177;0,910588993;;255,468;286,1166667;;;;220,716;;;220,716;255,468;286,1166667;;254,79;287,1633333;;;;239,028;;;239,028;254,79;287,1633333;;96,5;90,76666667;;;;95,35;85,6;;95,35;95,58333333;90,76666667;1034,11;2,131166;2,588867944;2,132840555;1,940455726;2,148522927;2,082485846;2,709029744;1,740229586;0,471587923;1609,772727;2329,334545;1208,341818;1241,707273;1735,570909;1250,650909;1676,862727;1605,772727;3376,90875;21900;0,982812009;;1,909774436;1,075471698;0,856476079;1;1,274774775;NOROESTE GOIANO;5,583333333;229,872;255,129;286,64;242,5005;;255,129;286,64;;229,872;;;;;;;;;;
Goiás;238779657;964961;55849987;2,51383E+15;48363991;2,17688E+15;222170889;1882064;8,47124E+15;99136271;4,46216E+15;2,74914995;3,039530095;1,909494572;0,707264789;2,800408821;0,103725383;2,699829823;20,00108498;0,740827618;3,228849267;1,195945478;423205537,5;1781510,727;83916720,73;1,48242E+16;76445854,45;1,56696E+16;391132444,8;36130368,91;8,85651E+15;187487207,9;1,16237E+16;10,28;0,621;6,45;4,95;4,6;;;4,7;5,74;;;6,116666667;4,983333333;4,533333333;0,971712768;0,937605488;0,952212333;;;0,8414655;0,9726964;0,92272232;;0,974431505;0,938470165;0,929975007;224,7866667;258,346;280,6233333;;;309,38;214,705;;;217,838;258,346;283,3733333;239,9466667;257,938;281,4466667;;;311,42;211,8925;;;228,01;257,938;283,3666667;96,925;93,91666667;95,16666667;;;83,35;97,38;92,13333333;;97,41666667;93,95;92,86666667;954,92;2,132891;2,180568615;3,554864068;0,743434311;1,775082911;2,30136873;0,70673188;2,483528408;3,973572069;1334,429091;1981,174545;1861,522727;1322,59;2627,383636;898,7254545;1628,91;1679,015455;6211,034545;24071;0,973470296;0,689148586;2,140186916;1,017621145;0,990453461;1,041602465;1,633507853;NOROESTE GOIANO;5,55;222,924;258,142;283,37;240,533;232,3666667;258,142;281,035;245,2543333;213,29875;;;;;;310,4;;;5,7;
Orizona;227777325;159374;34254008;1,60505E+16;8835131;4,13991E+15;213413435;25939306;1,21545E+16;64868811;3,03958E+16;2,830095722;25,72192453;1,970311533;0,702634762;33,60844938;11,98514268;2,804175993;2,562873193;0,913948768;0,258280609;0,921057057;420859304,3;2631548,545;53913569,55;1,04425E+16;156913359,4;2,22041E+16;325232328,3;41295819,82;8,11864E+15;88146160,36;2,38319E+16;9,58;0,612;6,52;5,25;4,533333333;;;;6,05;5,333333333;;6,166666667;5,216666667;4,533333333;0,991534806;0,961532173;0,960687323;;;;0,976195672;0,936761837;;0,97871067;0,9455655;0,960687323;220,335;255,728;273,0666667;;;;217,972;270,34;;218,058;260,586;273,0666667;243,775;270,414;279,64;;;;223,88;270,168;;229,014;269,732;279,64;99,22;96,2;96,03333333;;;;97,63333333;93,6;;97,85;94,51666667;96,03333333;883,79;2,461705;2,348033458;4,493578197;1,278117647;2,314637218;2,000646194;2,16300364;2,079808601;2,131105642;1407,32;1885,821818;806,2628571;1216,175455;1818,968182;1243,689091;1440,235455;1658,309091;5504,51;16399;1,146783217;1,614258111;2,947368421;1,11627907;0,993540052;1,072839506;1,294372294;SUL GOIANO;5,691666667;223,536;265,159;276,3533333;244,3475;232,055;263,071;276,3533333;247,563;220,926;270,254;;245,59;;;;;5,691666667;5,885;
Ceres;281772875;1362143;45493174;1,79131E+16;7224509;2,84468E+15;253965603;42640638;1,67899E+16;158607282;6,24523E+15;2,332447561;2,163050429;2,279937228;0,980691026;0,287618439;12,37160473;2,324827256;2,742109792;1,179489695;2,200404922;0,094648104;391424450,8;1988996,727;71530034,64;1,21512E+16;9369963,273;1,01008E+16;424643495;61270072,09;1,538E+16;247391103,5;5,36574E+15;10,77;0,733;6,18;5,35;4,833333333;;;5,35;6,366666667;;;6,316666667;5,35;4,833333333;0,992877006;0,985111167;0,975348667;;;0,94628501;0,993030995;;;0,993722487;0,985111167;0,921330667;215,3625;263,274;286,7366667;;;301,785;224,424;;;223,044;263,274;293,1466667;229,9675;264,984;284,9133333;;;315,905;226,47;;;226,242;264,984;298,41;99,32;98,53333333;97,33333333;;;94,3;99,26666667;;;99,33333333;98,53333333;91,96666667;1107,07;2,15158;1,755092766;5,631469325;2,182387926;1,941164915;1,349671429;2,45955172;1,33518424;1,695109175;1026,955455;2201,613636;1557,129091;1250,967273;920,2942857;1418,339091;1838,995455;2299,105455;2926,602727;22046;1,063893447;;2,12173913;0,966911765;1,037831021;0,980148883;1,5917603;CENTRO GOIANO;5,833333333;224,643;264,129;295,7783333;244,386;222,665;264,129;285,825;243,397;225,447;;;;;;308,845;;;5,765;
Jussara;247606074;1297318;46547324;2,03089E+15;60302379;2,63103E+16;229197094;17790681;7,76218E+14;10455671;4,56187E+15;2,391618563;2,484699973;2,042852882;8,603171726;2,81800461;1,186760818;2,374534587;2,541200812;10,70189007;22,38067906;9,425290825;380594512,3;2161305,636;60307577,36;1,43166E+16;89214686,91;1,60502E+16;377996391,2;26195120,64;1,47825E+16;146969739,5;2,23646E+16;10,25;0,635;5,8;5,5;4,833333333;;;;6,166666667;5,225;;6,1;5,483333333;4,833333333;0,970493808;0,982479323;0,98841067;;;;0,988254162;0,964779196;;0,985148492;0,981012325;0,98841067;212,23;267,038;283,7966667;;;;215,526;261,78;;215,17;266,58;283,7966667;225,545;267,244;282,2066667;;;;228,204;265,8033333;;227,816;267,252;282,2066667;96,7;98,26666667;98,83333333;;;;98,81666667;96,34;;98,48333333;98,08333333;98,83333333;927,15;2,465469;2,154617891;4,31939783;1,919311588;2,075698448;1;2,036548955;2,02238676;0,271075631;1576,991818;2149,158182;1329,72;1210,69;796,64;977,9245455;1516,415455;1497,022727;3991,436364;19625;1,024643659;;1,904109589;0,933837429;1,054977712;1,043971631;1,356275304;NOROESTE GOIANO;5,791666667;221,493;266,916;283,0016667;244,2045;218,8875;267,141;283,0016667;243,01425;221,865;263,7916667;;242,8283333;;;;;5,695833333;5,65;
